"CHAVE" "HOST NAME" "IP" "STATUS"
"SWWEB001" "www.atividades.proderj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB002" "www.proderj.rj.gov.br/censo" "-" "OPERACIONAL"
"SWWEB003" "www.94fm.rj.gov.br" "-" "OPERACIONAL"
"SWWEB004" "www.agenda.rj.gov.br" "-" "OPERACIONAL"
"SWWEB005" "www.agenersa.rj.gov.br" "-" "OPERACIONAL"
"SWWEB006" "www.agetransp.rj.gov.br" "-" "OPERACIONAL"
"SWWEB007" "www.aperj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB008" "www.bperj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB009" "www.biosfera.rj.gov.br" "-" "OPERACIONAL"
"SWWEB010" "www.casacivil.rj.gov.br/cape" "-" "OPERACIONAL"
"SWWEB011" "www.caserj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB012" "www.ceasa.rj.gov.br" "-" "OPERACIONAL"
"SWWEB013" "www.cedepi.proderj.rj.gov.br" "-" "-"
"SWWEB014" "www.cedim.rj.gov.br" "-" "OPERACIONAL"
"SWWEB015" "www.cedine.rj.gov.br" "-" "OPERACIONAL"
"SWWEB016" "www.cehab.rj.gov.br" "-" "OPERACIONAL"
"SWWEB017" "www.cibg.rj.gov.br" "-" "OPERACIONAL"
"SWWEB018" "www.coderte.rj.gov.br" "-" "OPERACIONAL"
"SWWEB019" "www.codin.rj.gov.br" "-" "OPERACIONAL"
"SWWEB020" "www.isp.rj.gov.br/isp_ccm" "-" "OPERACIONAL"
"SWWEB021" "www.conseti.rj.gov.br" "-" "OPERACIONAL"
"SWWEB022" "www.cepde.rj.gov.br" "-" "OPERACIONAL"
"SWWEB023" "www.cee.rj.gov.br" "-" "OPERACIONAL"
"SWWEB024" "www.consumidor.rj.gov.br" "-" "OPERACIONAL"
"SWWEB025" "www.consumidor.rj.gov.br/papo" "-" "OPERACIONAL"
"SWWEB026" "www.consumidor.rj.gov.br/sim" "-" "OPERACIONAL"
"SWWEB027" "www.patrimonio.rj.gov.br" "-" "OPERACIONAL"
"SWWEB028" "www.cted.educacao.rj.gov.br" "-" "OPERACIONAL"
"SWWEB029" "www.dpge.rj.gov.br" "-" "OPERACIONAL"
"SWWEB030" "www.defesacivilsjb.rj.gov.br" "-" "OPERACIONAL"
"SWWEB031" "www.degase.rj.gov.br" "-" "OPERACIONAL"
"SWWEB032" "www.delegaciavirtual.rj.gov.br/dvconsult" "-" "-"
"SWWEB033" "www.delegaciavirtual.rj.gov.br" "-" "OPERACIONAL"
"SWWEB034" "www.drm.rj.gov.br" "-" "OPERACIONAL"
"SWWEB035" "www.der.rj.gov.br" "-" "OPERACIONAL"
"SWWEB036" "www.das.policiacivil.rj.gov.br" "-" "OPERACIONAL"
"SWWEB037" "www.policiacivil.rj.gov.br/dre" "-" "OPERACIONAL"
